"engine.time","calcium.Ca_i"
 0.00000000000000000e+00, 2.10808768153058460e-04
 8.27978602237017108e-02, 2.10805848731175074e-04
 2.77965130518738501e-01, 2.10798881987194403e-04
 1.08624052065349774e+00, 2.10769764657348752e-04
 7.08970810437712728e+00, 2.10557250759338638e-04
 1.30931756881007573e+01, 2.10349149085898901e-04
 1.90966432718243873e+01, 2.10145394118569121e-04
 4.59011569386900007e+01, 2.09289842684879512e-04
 7.27056706055556106e+01, 2.08502332973613502e-04
 9.95101842724212275e+01, 2.07782478632820576e-04
 1.00000000000000000e+02, 2.07769844681725128e-04
 1.00001465354122118e+02, 2.07769807269798815e-04
 1.00002930708244236e+02, 2.07769769867856188e-04
 1.00006006955697785e+02, 2.07769691392651229e-04
 1.00009083203151334e+02, 2.07769612989900520e-04
 1.00014402069336043e+02, 2.07769477669912152e-04
 1.00019720935520752e+02, 2.07769342689192516e-04
 1.00025039801705461e+02, 2.07769208080747385e-04
 1.00033834143016435e+02, 2.07768986369763177e-04
 1.00042628484327409e+02, 2.07768765735120352e-04
 1.00057151545788827e+02, 2.07768403698259168e-04
 1.00071674607250245e+02, 2.07768044481241356e-04
 1.00086197668711662e+02, 2.07767687982434861e-04
 1.00100720730173080e+02, 2.07767334104389857e-04
 1.00123734580690453e+02, 2.07766778434192501e-04
 1.00159447934165414e+02, 2.07765927894258039e-04
 1.00195161287640374e+02, 2.07765090951129874e-04
 1.00262039439042908e+02, 2.07763556785986209e-04
 1.00328917590445442e+02, 2.07762063100753850e-04
 1.00395795741847977e+02, 2.07760606741311927e-04
 1.00462673893250511e+02, 2.07759185329919042e-04
 1.00529552044653045e+02, 2.07757797208750169e-04
 1.00596430196055579e+02, 2.07756441331019738e-04
 1.00663308347458113e+02, 2.07755117159831620e-04
 1.00730186498860647e+02, 2.07753824592059810e-04
 1.00797064650263181e+02, 2.07752563910161119e-04
 1.00863942801665715e+02, 2.07751335760908765e-04
 1.00930820953068249e+02, 2.07750141159929104e-04
 1.00997699104470783e+02, 2.07748981522236917e-04
 1.01064577255873317e+02, 2.07747858720464272e-04
 1.01131455407275851e+02, 2.07746775181376689e-04
 1.01198333558678385e+02, 2.07745734017450185e-04
 1.01265211710080919e+02, 2.07744739214871872e-04
 1.01299779338629946e+02, 2.07744244245262872e-04
 1.01334346967178973e+02, 2.07743763638390213e-04
 1.01368914595728000e+02, 2.07743298381314265e-04
 1.01403482224277028e+02, 2.07742849581896307e-04
 1.01438049852826055e+02, 2.07742418507318391e-04
 1.01472617481375082e+02, 2.07742006618828387e-04
 1.01507185109924109e+02, 2.07741615610820325e-04
 1.01541752738473136e+02, 2.07741247458054646e-04
 1.01576320367022163e+02, 2.07740904474169375e-04
 1.01610887995571190e+02, 2.07740589385148935e-04
 1.01645455624120217e+02, 2.07740305415902136e-04
 1.01680023252669244e+02, 2.07740056439772330e-04
 1.01714590881218271e+02, 2.07739847099890312e-04
 1.01749158509767298e+02, 2.07739683008293746e-04
